NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
AMOS,103,0.0,0.0,4.854,22.33,7.767,65.049,AMOS
AMPARO,87,0.0,0.0,5.747,0.0,86.207,8.046,AMPARO
AMY,9775,0.102,0.143,2.844,0.358,0.992,95.56,AMY
AN,111,0.0,0.0,96.396,0.0,0.0,3.604,AN
ANA,1656,0.121,0.0,2.295,0.906,73.249,23.43,ANA
ANABEL,49,0.0,0.0,4.082,0.0,83.673,12.245,ANABEL
ANAND,137,0.0,2.92,74.453,0.0,0.73,21.898,ANAND
ANASTASIA,157,0.637,0.0,1.274,2.548,0.637,94.904,ANASTASIA
ANATOLIY,84,0.0,0.0,0.0,0.0,0.0,100.0,ANATOLIY
ANATOLY,42,0.0,0.0,2.381,0.0,0.0,97.619,ANATOLY
ANCA,19,0.0,0.0,0.0,0.0,0.0,100.0,ANCA
ANDERS,53,0.0,0.0,1.887,0.0,0.0,98.113,ANDERS
ANDERSON,47,0.0,0.0,14.894,34.043,19.149,31.915,ANDERSON
ANDRA,68,0.0,1.471,0.0,8.824,0.0,89.706,ANDRA
ANDRE,599,0.334,0.167,3.339,33.723,5.509,56.928,ANDRE
ANDREA,4215,0.047,0.214,0.807,4.911,4.27,89.751,ANDREA
ANDREAS,164,0.0,0.0,1.829,1.829,0.61,95.732,ANDREAS
ANDREI,78,0.0,0.0,2.564,2.564,2.564,92.308,ANDREI
ANDRES,482,0.0,0.207,2.905,0.415,83.817,12.656,ANDRES
ANDREW,10945,0.037,0.11,3.07,1.69,1.882,93.212,ANDREW
ANDREY,114,0.0,0.0,1.754,0.0,0.877,97.368,ANDREY
ANDRIA,60,0.0,0.0,5.0,11.667,3.333,80.0,ANDRIA
ANDRIY,34,0.0,0.0,0.0,0.0,0.0,100.0,ANDRIY
ANDRZEJ,177,0.0,0.0,0.0,0.0,0.0,100.0,ANDRZEJ
ANDY,555,0.0,0.721,38.559,1.622,6.306,52.793,ANDY
ANETA,49,0.0,0.0,0.0,0.0,0.0,100.0,ANETA
ANGEL,888,0.0,0.225,4.279,3.716,69.144,22.635,ANGEL
ANGELA,6432,0.202,0.187,1.975,7.167,4.851,85.619,ANGELA
ANGELIA,100,1.0,0.0,1.0,20.0,4.0,74.0,ANGELIA
ANGELICA,453,0.0,0.221,3.311,0.442,71.302,24.724,ANGELICA
ANGELIKA,46,0.0,0.0,8.696,0.0,0.0,91.304,ANGELIKA
ANGELINA,292,0.342,0.685,10.959,3.425,34.247,50.342,ANGELINA
ANGELINE,101,0.0,0.0,15.842,3.96,0.99,79.208,ANGELINE
ANGELIQUE,139,0.0,0.0,2.158,15.108,5.036,77.698,ANGELIQUE
ANGELITA,86,1.163,0.0,38.372,4.651,39.535,16.279,ANGELITA
ANGELO,486,0.0,0.206,1.44,3.086,10.494,84.774,ANGELO
ANGIE,379,0.0,0.0,9.499,2.639,10.29,77.573,ANGIE
ANGUS,43,0.0,0.0,4.651,0.0,0.0,95.349,ANGUS
ANH,184,0.0,0.0,95.109,0.0,0.543,4.348,ANH
ANI,44,0.0,0.0,11.364,4.545,2.273,81.818,ANI
ANIBAL,54,0.0,0.0,0.0,0.0,88.889,11.111,ANIBAL
ANIL,215,0.465,0.0,79.535,0.93,0.93,18.14,ANIL
ANILA,30,0.0,3.333,50.0,0.0,0.0,46.667,ANILA
ANISSA,49,0.0,0.0,2.041,16.327,2.041,79.592,ANISSA
ANITA,2003,0.1,0.399,8.288,7.738,6.64,76.835,ANITA
ANJA,35,0.0,0.0,0.0,5.714,2.857,91.429,ANJA
ANJALI,51,0.0,0.0,76.471,0.0,0.0,23.529,ANJALI
ANJANA,33,0.0,0.0,75.758,0.0,0.0,24.242,ANJANA
ANJANETTE,34,0.0,0.0,0.0,26.471,5.882,67.647,ANJANETTE
ANJU,33,0.0,3.03,81.818,0.0,0.0,15.152,ANJU
ANKUR,33,0.0,0.0,81.818,3.03,3.03,12.121,ANKUR
ANN,5151,0.116,0.097,2.446,1.573,0.912,94.855,ANN
ANNA,3347,0.12,0.09,5.378,2.211,7.439,84.762,ANNA
ANNABEL,32,0.0,0.0,9.375,9.375,21.875,59.375,ANNABEL
ANNABELLE,70,1.429,0.0,21.429,1.429,5.714,70.0,ANNABELLE
ANNALISA,38,0.0,0.0,2.632,2.632,0.0,94.737,ANNALISA
ANNAMARIA,37,0.0,0.0,2.703,0.0,16.216,81.081,ANNAMARIA
ANNAMARIE,68,0.0,1.471,1.471,0.0,10.294,86.765,ANNAMARIE
ANNE,4239,0.047,0.142,2.147,0.896,0.731,96.037,ANNE
ANNELIESE,32,0.0,0.0,0.0,0.0,3.125,96.875,ANNELIESE
ANNEMARIE,164,0.0,0.0,0.61,1.829,0.0,97.561,ANNEMARIE
ANNETTA,48,0.0,2.083,2.083,18.75,2.083,75.0,ANNETTA
ANNETTE,1679,0.06,0.179,1.549,9.708,6.135,82.37,ANNETTE
ANNIE,654,0.459,0.153,20.031,30.887,3.517,44.954,ANNIE
ANNMARIE,188,0.0,0.0,0.532,3.191,1.596,94.681,ANNMARIE
ANSELMO,45,0.0,0.0,6.667,0.0,71.111,22.222,ANSELMO
ANSON,36,0.0,0.0,38.889,2.778,0.0,58.333,ANSON
ANTHONY,10335,0.213,0.174,3.154,7.199,5.099,84.161,ANTHONY
ANTJE,19,0.0,0.0,0.0,0.0,0.0,100.0,ANTJE
ANTOINE,104,0.0,0.0,2.885,40.385,2.885,53.846,ANTOINE
ANTOINETTE,505,0.594,0.198,1.584,15.446,5.941,76.238,ANTOINETTE
ANTON,184,0.0,0.543,3.261,5.978,1.087,89.13,ANTON
ANTONELLA,36,0.0,2.778,0.0,0.0,0.0,97.222,ANTONELLA
ANTONETTE,44,0.0,0.0,2.273,9.091,6.818,81.818,ANTONETTE
ANTONIA,273,0.366,0.733,3.663,5.495,47.253,42.491,ANTONIA
ANTONIETTA,34,0.0,0.0,2.941,0.0,2.941,94.118,ANTONIETTA
ANTONINA,37,0.0,0.0,13.514,0.0,5.405,81.081,ANTONINA
ANTONINO,43,0.0,0.0,2.326,0.0,27.907,69.767,ANTONINO
ANTONIO,1965,0.204,0.0,6.616,5.242,56.336,31.603,ANTONIO
ANTONY,96,0.0,1.042,16.667,4.167,1.042,77.083,ANTONY
ANUP,34,0.0,0.0,82.353,0.0,0.0,17.647,ANUP
ANURADHA,60,0.0,0.0,90.0,0.0,0.0,10.0,ANURADHA
ANWAR,37,2.703,0.0,45.946,10.811,0.0,40.541,ANWAR
APARNA,44,0.0,0.0,77.273,0.0,0.0,22.727,APARNA
APRIL,1662,0.12,0.301,1.685,6.739,2.708,88.448,APRIL
ARA,58,0.0,0.0,3.448,1.724,0.0,94.828,ARA
ARACELI,191,0.0,0.524,5.759,0.0,84.817,8.901,ARACELI
ARACELY,49,0.0,0.0,0.0,0.0,93.878,6.122,ARACELY
ARAM,38,0.0,0.0,2.632,0.0,2.632,94.737,ARAM
ARASH,33,3.03,0.0,18.182,0.0,3.03,75.758,ARASH
ARCELIA,40,0.0,0.0,0.0,0.0,87.5,12.5,ARCELIA
ARCHANA,50,0.0,2.0,82.0,0.0,0.0,16.0,ARCHANA
ARCHIE,134,2.239,0.0,2.985,29.104,2.239,63.433,ARCHIE
ARDEN,52,0.0,0.0,1.923,13.462,0.0,84.615,ARDEN
ARDIS,31,0.0,0.0,0.0,3.226,0.0,96.774,ARDIS
ARI,72,0.0,0.0,5.556,0.0,2.778,91.667,ARI
ARIANA,45,2.222,0.0,4.444,0.0,33.333,60.0,ARIANA
ARIANNE,32,0.0,0.0,0.0,6.25,6.25,87.5,ARIANNE
ARIC,56,0.0,0.0,1.786,1.786,3.571,92.857,ARIC
ARIE,31,0.0,0.0,3.226,6.452,3.226,87.097,ARIE
ARIEL,186,0.0,0.0,11.29,2.151,40.86,45.699,ARIEL
ARIF,36,0.0,0.0,66.667,0.0,2.778,30.556,ARIF
