name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 85637,1264,57,6,3,9,5,176,1003,85637
ZCTA5 85638,1886,106,13,1,3,4,286,1466,85638
ZCTA5 85639,240,0,232,0,0,0,8,0,85639
ZCTA5 85640,339,9,6,0,2,3,145,173,85640
ZCTA5 85641,29538,1530,124,56,857,563,6503,19725,85641
ZCTA5 85643,8208,252,71,5,117,54,3776,3900,85643
ZCTA5 85645,1917,41,20,4,12,7,994,829,85645
ZCTA5 85646,1653,26,12,1,10,5,253,1336,85646
ZCTA5 85648,20720,93,28,7,48,124,18044,2320,85648
ZCTA5 85650,14857,842,48,51,531,506,2605,10190,85650
ZCTA5 85653,19885,880,231,12,444,340,5301,12568,85653
ZCTA5 85654,94,6,1,0,22,0,30,35,85654
ZCTA5 85658,15791,574,78,32,292,405,2804,11563,85658
ZCTA5 85701,5132,212,79,2,196,126,1928,2551,85701
ZCTA5 85704,34430,1189,186,53,675,1574,7035,23589,85704
ZCTA5 85705,56711,1922,1517,115,2334,1649,25104,23836,85705
ZCTA5 85706,54853,705,1161,33,1521,438,44974,5904,85706
ZCTA5 85707,734,26,4,10,74,31,382,207,85707
ZCTA5 85708,3837,297,16,44,357,142,720,2224,85708
ZCTA5 85709,0,0,0,0,0,0,0,0,85709
ZCTA5 85710,57381,2844,475,188,3363,1630,14694,33885,85710
ZCTA5 85711,41518,1853,573,149,3078,1301,14844,19441,85711
ZCTA5 85712,33108,1439,492,152,2179,934,8164,19516,85712
ZCTA5 85713,46810,809,1500,44,1977,441,31375,10490,85713
ZCTA5 85714,14232,181,344,8,265,92,11952,1353,85714
ZCTA5 85715,18561,877,120,17,580,539,3504,12832,85715
ZCTA5 85716,31521,1430,546,151,1681,935,8459,18147,85716
